Time,Latitude,Longitude,GPS Alt,Sens Alt,Pressure,Sens Temp,Windspeed
185441,49.3403,-122.9526,469,479,99582.7343,99.4291,0
185454,49.3417,-122.9503,485,528,99397.7812,99.1787,0
185511,49.3434,-122.9476,406,580,99212.8281,98.6779,0
185526,49.3441,-122.9497,341,685,98842.9218,98.6779,0
185541,49.3426,-122.9528,275,738,98657.9687,98.1771,0
185555,49.3444,-122.9534,246,839,98288.0546,97.9267,0
185611,49.3429,-122.9579,396,892,98103.1015,97.4259,0
185626,49.3433,-122.9618,515,944,97918.1484,97.1755,0
185641,49.3433,-122.9658,620,1049,97548.2343,96.6747,0
185655,49.3434,-122.9695,744,1102,97363.2812,96.4243,0
185711,49.3442,-122.9731,889,1154,97178.3281,96.1739,0
185726,49.3458,-122.9736,1069,1207,96993.3671,95.9235,0
185741,49.3456,-122.9705,1217,1207,96993.3671,95.9235,0
185755,49.3449,-122.9674,1309,1312,96623.4609,95.4227,0
185811,49.3459,-122.9638,1473,1364,96438.5,95.1723,0
185826,49.3469,-122.9606,1610,1420,96253.5468,95.1723,0
185841,49.3483,-122.9576,1738,1473,96068.5937,94.6715,0
185855,49.3493,-122.9543,1863,1578,95698.6875,94.4211,0
185911,49.3511,-122.9509,2001,1633,95513.7343,94.1707,0
185926,49.3524,-122.9475,2129,1686,95328.7812,93.9203,0
185941,49.354,-122.9443,2250,1794,94958.8671,93.6699,0
185955,49.3552,-122.9416,2345,1794,94958.8671,93.6699,0
190011,49.3552,-122.943,2404,1847,94773.914,93.4195,0
190026,49.3544,-122.9465,2467,1902,94588.9531,92.9187,0
190042,49.3537,-122.9507,2552,1955,94404,92.4179,0
190057,49.3528,-122.9545,2595,2011,94219.0468,92.4179,0
190112,49.3528,-122.9581,2650,2063,94034.0859,92.6683,0
190127,49.3531,-122.9575,2687,2119,93849.1328,92.4179,0
190142,49.3539,-122.9543,2759,2175,93664.1796,92.1675,0
190157,49.3554,-122.9516,2824,2227,93479.2187,91.6667,0
190212,49.3571,-122.9491,2883,2283,93294.2656,91.6667,0
190227,49.3591,-122.9479,2926,2339,93109.3125,91.4163,0
190242,49.3592,-122.9491,2959,2395,92924.3593,91.1659,0
190257,49.3578,-122.9516,3041,2447,92739.4062,90.9155,0
190312,49.3589,-122.9538,3103,2503,92554.4531,90.9155,0
190327,49.361,-122.9529,3169,2559,92369.5,90.6651,0
190342,49.3627,-122.9513,3254,2614,92184.539,90.6651,0
190357,49.3642,-122.9498,3310,2670,91999.5859,90.1643,0
190412,49.3647,-122.9493,3333,2670,91999.5859,90.1643,0
190427,49.3649,-122.949,3339,2614,92184.539,90.4147,0
190442,49.3647,-122.949,3343,2670,91999.5859,90.4147,0
205509,49.3647,-122.9491,3366,2670,91999.5859,91.6667,0
205524,49.3647,-122.9491,3356,2670,91999.5859,91.4163,0
205539,49.3648,-122.9491,3356,2614,92184.539,91.1659,0
205555,49.3648,-122.9493,3356,2670,91999.5859,90.6651,0
205610,49.364,-122.9501,3343,2670,91999.5859,90.4147,0
205625,49.3626,-122.9515,3297,2614,92184.539,90.4147,0
205639,49.3611,-122.9528,3251,2559,92369.5,90.1643,0
205655,49.3589,-122.9538,3185,2503,92554.4531,90.1643,0
205710,49.3578,-122.9515,3106,2447,92739.4062,89.9139,0
205725,49.3592,-122.949,3057,2395,92924.3593,89.6635,0
205740,49.3593,-122.9478,3024,2395,92924.3593,89.4131,0
205755,49.3573,-122.949,2962,2339,93109.3125,89.4131,0
205810,49.3554,-122.9516,2893,2227,93479.2187,89.4131,0
205825,49.3539,-122.9547,2814,2175,93664.1796,89.4131,0
210140,49.3478,-122.9595,2109,1473,96068.5937,88.6619,0
210155,49.3463,-122.9629,2030,1420,96253.5468,88.9123,0
210210,49.3451,-122.9667,1955,1312,96623.4609,89.1627,0
210225,49.3453,-122.9704,1902,1259,96808.414,89.1627,0
210240,49.3456,-122.9735,1863,1207,96993.3671,88.9123,0
210256,49.3435,-122.9739,1817,1207,96993.3671,89.1627,0
210311,49.3426,-122.9704,1761,1102,97363.2812,89.1627,0
210326,49.3425,-122.9662,1696,1049,97548.2343,89.4131,0
210341,49.3428,-122.9616,1630,944,97918.1484,89.1627,0
210356,49.3429,-122.9572,1555,892,98103.1015,89.6635,0
210411,49.3432,-122.9527,1469,787,98473.0156,89.9139,0
210426,49.3443,-122.9496,1387,738,98657.9687,89.9139,0
210440,49.345,-122.9467,1325,633,99027.875,89.9139,0
210456,49.3431,-122.9476,1266,633,99027.875,89.9139,0
210511,49.3412,-122.9505,1181,528,99397.7812,90.1643,0
210526,49.3397,-122.9539,1092,426,99767.6953,90.4147,0
210540,49.3386,-122.9565,1023,377,99952.6484,90.4147,0
210556,49.3367,-122.9593,944,272,100322.5546,90.6651,0
210611,49.3347,-122.9624,859,223,100507.5078,90.6651,0
210626,49.3321,-122.9637,780,170,100692.4765,90.9155,0
210640,49.3294,-122.9649,708,68,101062.3828,90.9155,0
210656,49.3267,-122.9668,606,19,101247.3359,91.1659,0
210711,49.3255,-122.9706,492,-78,101617.2421,91.4163,0
210726,49.3239,-122.972,419,-177,101987.1562,91.6667,0
210740,49.3223,-122.9704,374,-229,102172.1093,91.6667,0
210756,49.3204,-122.969,344,-229,102172.1093,91.9171,0
210811,49.3183,-122.9691,328,-278,102357.0625,91.6667,0
210826,49.3163,-122.9691,321,-278,102357.0625,91.6667,0
